address,balance,total_assets_value,transaction_count,total_volume,avg_transaction_size,sent_volume,received_volume
ANN7UCQHH3VRHBGHI3GMABXZKYAZAHSC6NZRGGDW3AQESGJ5LTADQ7ADBM,171638.272363,0,7,0.000352,5.0285714285714286e-05,0,0.000352
AH22EKQTRKA4SDPG4OVQPEUGKDOSKKY4SXQ3UMVXEEZONTQ74VQQE43ABE,170301.162453,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AATRJMLDKVNR5XNXHSYHLIQSHAOQJLC3KYTP3UIVM42I3QA4G7KSPGIAIM,163803.61198,0,6,0.000339,5.65e-05,0,0.000339
AIARJ4ONQ2VTN7PZCKGXZ3PI6WVCCNNCDXYKL2HMRAFXT32UCERCWID35U,158999.998888,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AXKVVSF4Q5XUPIYTGHBDYYQEB7SCYQB7UXJGGSEHIGIGJSW7EEWYVZNTRA,157552.449586,0,0,0,0,0,0
AEWPMVH35VWEUJNLY5IOSSHV7TC67PRXWM3C4S4HVIL4TAU7FDTDDA7I7Q,157506.548453,0,6,0.000339,5.65e-05,0,0.000339
AJGRTRIGROSNPNHMWI5YFHD4STOZR4NOFD53BDDG6VWKQTV4WL6TBCNQRE,156623.510818,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AV5BG4I663S3SQ5D5TYXMWJX7OHNGA4HY45LQ5FW4R5FN3VJNK3QRBLMOQ,152213.275961,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AB5BRH664WJQY5BH24YQ27QPZGQZMUWMUHAEVYYOQTFCSJQ3NAKPM3QC2Y,152027.308388,0,4,0.00022600000000000002,5.6500000000000005e-05,0,0.00022600000000000002
AUI2A6YWEJQJCHYAOV4PTFCTTBMSWJHZWSRKDYE6I5BXXYXG2QBAO52JRA,150016.882975,0,8,50000.000339,6250.000042375,50000.0,0.000339
AI65XQN22SUUV4ECT7R42PNZANLFKNJEKHH5JLPNCWLIYJ24L6ZWDPTUKY,147811.57211,0,12,498.945382,41.57878183333333,0,498.945382
AFSS34EDQA7UG7MH7Q66D55V526TKWXXGPLYC3KICT7DMRCXP46LPZONVE,143128.917421,0,6,0.000339,5.65e-05,0,0.000339
ALFNDMUF6P5NNSTK2PZXGMOGUPWAN23H7QFQMJ2HP7MUKFCLPMWWCDDDWQ,141000.375655,0,7,0.000352,5.0285714285714286e-05,0,0.000352
AD2CKFDE7RGMY466Y3AYHTDMVZO63YGLSEBDKUZ7DNUNYIEFQIZK6NVRBU,138089.839188,0,8,31917.337087,3989.667135875,0,31917.337087
