,address,transaction_weight,holdings_weight,influence_score
58,WDWBXGJIXO3N6A7AZ25XU4UX5Q3FJJ5CCKFCUEUWE75ZF5I6H47X37EY6M,2.5957697772234536e-12,0.049049002967659516,0.029429401781634015
85,O4WKNVA25QYYMN3NW534CWE65PPIMU56TNB5ZJIKGOQHBXEFU6QACUJWOQ,2.5957697772234536e-12,0.04697161492696851,0.028182968957219414
86,P2W7L5OERZ53KV4LJOCV3HR75ZPA6BDLHCAL27IQSIE2WDFGRFEGL524VA,0.0,0.04697161492679557,0.02818296895607734
80,DEK6IBQKSX5JPKUSIDCLRUEXTAJLSEM5EFZWXDDYYVPKBH3JOS4NPT477U,2.5957697772234536e-12,0.046825559266591266,0.028095335560993067
84,A6B5AKODYAMHTQ7B4PJAMOLDLZFMAB4QOXJJP6I3FC7YIPOPD6PL7ZYRCA,0.0,0.04653779153873416,0.027922674923240496
87,PRNU5BPKXY5G322XPP7D7R7NH7MFFUUO44522T3P5OT64DB56JJ5ZQJ4LA,0.0,0.04650957858248798,0.027905747149492784
88,I63NBAY2FYICKXSF7XFJRUV3CQDB756EDQ245D47Z34LTEFP7JYXS56QTM,2.5957697772234536e-12,0.04625025571505713,0.027750153430072585
81,FRWQZO4A6NZKANEYYWAHZIBHJ46T2LVRFACCLHUY3JQAJLUIWNQQLOQ26A,7.614713612898959e-09,0.04518455482142414,0.02711073593873993
92,ALMEZURUOG7R2QKPZIPNQAFANRQEZU4J22ZJYW6HARU4IZCZGEHNTZMO6U,0.0,0.044330965489920965,0.026598579293952578
91,C2QRHHR3K7KSLNQV4BJCD6UVM5OJSSXTV2YQR6DOYVL3X7ZGC2BBZRFKEE,3.893654665835181e-12,0.042920725928763295,0.02575243555881544
78,SJYNEQ36GVJBQ3YRZTVQGMFQDHRZKK3SGXF224WKNP7S3NAU563RNPUMWA,1.148570697886484e-11,0.0426986205029755,0.025619172306379584
94,B23XLXSA3MBU3SLP5EF2HE7JRR2UMFNKZBIDRWQPGLGCNDNCABWHMDXPMQ,2.686506862356486e-11,0.04203022044104526,0.025218132275373187
